StudentID,LastName,FirstName,CumGPA,BcpmGPA,MMICalc,RosterYear,GraduationYear,Graduated,GraduationLength,Status
456,,,3.72,,,2014,2018,True,4.0,Grad
108,,,2.84,,,2014,2018,True,4.0,Grad
742,,,3.87,,,2014,2018,True,4.0,Grad
589,,,3.24,,,2014,2018,True,4.0,Grad
888,,,3.66,,,2014,2018,True,4.0,Grad
405,,,3.3,,,2014,2018,True,4.0,Grad
386,,,3.16,,,2014,2018,True,4.0,Grad
332,,,3.94,,,2014,2018,True,4.0,Grad
391,,,3.21,,,2014,2018,True,4.0,Grad
693,,,3.87,,,2014,2018,True,4.0,Grad
136,,,3.58,,,2014,2018,True,4.0,Grad
751,,,3.48,,,2014,2018,True,4.0,Grad
559,,,3.77,,,2014,2019,True,5.0,Grad Delayed
784,,,3.98,,,2014,2018,True,4.0,Grad
491,,,3.8,,,2014,2018,True,4.0,Grad
214,,,2.88,,,2014,2019,True,5.0,Grad Delayed (enrich)
818,,,3.83,,,2014,2018,True,4.0,Grad
515,,,3.49,,,2014,2018,True,4.0,Grad
661,,,3.99,,,2014,2018,True,4.0,Grad
749,,,3.9,,,2014,2018,True,4.0,Grad
550,,,3.54,,,2014,2018,True,4.0,Grad
120,,,3.73,,,2014,2018,True,4.0,Grad
525,,,3.81,,,2014,2018,True,4.0,Grad
572,,,3.62,,,2014,2018,True,4.0,Grad
837,,,3.56,,,2014,2018,True,4.0,Grad
872,,,3.62,,,2014,2018,True,4.0,Grad
262,,,3.83,,,2014,2019,True,5.0,Grad Delayed
883,,,3.5,,,2014,2018,True,4.0,Grad
805,,,3.9,,,2014,2018,True,4.0,Grad
460,,,3.8,,,2014,2019,True,5.0,Grad Delayed (enrich)
622,,,3.89,,,2014,2018,True,4.0,Grad
166,,,3.42,,,2014,2018,True,4.0,Grad
137,,,3.43,,,2014,2018,True,4.0,Grad
721,,,4.0,,,2014,2018,True,4.0,Grad
748,,,4.0,,,2014,2018,True,4.0,Grad
106,,,3.86,,,2014,2018,True,4.0,Grad
379,,,3.1,,,2014,2018,True,4.0,Grad
